source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4057083041888393344,266.1437918053768,-29.38381208730481,0.47346382740017545,13.980836,15.992708,12.667651
4057533841656689792,266.14380358210303,-28.858034653887422,0.6732711897627283,16.359621,17.247395,15.430266
4057083213687132800,266.14381087979854,-29.36397967327144,0.46935234505641654,15.406216,16.039547,14.600383
4057107952699469312,266.14387272619217,-29.09204134607378,0.3588948664558579,15.961864,16.89464,14.993995
4057102042824114944,266.1438972669927,-29.229578204269654,1.6279385821447232,18.0107,19.624172,16.789515
4057558997287484672,266.1439311312948,-28.558444756735643,0.5451926449247569,14.693382,15.208039,14.009343
4057538965559629952,266.1439330438476,-28.768762945431607,0.8053637057842535,16.096329,16.972471,15.169602
4057562192736427136,266.1439555724135,-28.462312574661432,1.7128901638534313,19.275305,20.550577,18.300423
4057107785199808384,266.1440390804127,-29.12283013907388,0.8691679842932676,16.867706,17.581982,16.041256
4057103245415112832,266.1440521830216,-29.17277889757623,0.97837175480001,15.084547,15.598675,14.408542
4057539206077804288,266.1440584541582,-28.74622834021254,0.6599981677457728,16.196312,16.974155,15.326851
4057485222626730112,266.1441877547011,-28.98070769012988,0.45606860439164504,14.543955,15.864699,13.423822
4057558992986846464,266.1443576509031,-28.561308283315693,0.6420742110955995,17.032507,17.826618,16.171083
4057534253973597696,266.14437429706356,-28.82943737100154,0.47165143255303393,17.027163,18.402077,15.877396
4057562188442675072,266.1444204800444,-28.453143075804917,0.8631764249894462,18.440048,19.601208,17.482279
4057108193217668736,266.144497150337,-29.079905448396918,0.8095032243866431,17.94879,18.895819,16.998262
4057562188442662272,266.1446271692803,-28.46431895612146,0.45611030387437657,16.729214,17.626413,15.787555
4057109601967084160,266.14483000215324,-29.01368041443421,1.383888842442319,18.392012,19.734642,17.298655
4057532604706032896,266.1448904476151,-28.90601695478365,0.6678183923980479,17.408476,18.588095,16.338215
4057107785199806464,266.14511381185406,-29.12703292382565,0.5260756079419787,15.345524,16.051065,14.513074
4057083248046913920,266.14518219392636,-29.3466587380548,1.0580980211281603,15.228574,15.809753,14.493067
4057104825963175040,266.14524451907323,-29.13127080690271,0.9403158074295124,16.9872,17.830252,16.065977
4057103004896892800,266.1452784921566,-29.1900579952515,0.9846435728345025,16.94209,17.645926,16.132547
4057107883979945600,266.1452852852136,-29.11042274403871,0.3576977008633479,14.973153,17.575579,13.54244
4057109606265981440,266.1453515509621,-29.01667875878774,0.7814246485359236,14.164703,15.35974,13.085336
4057102042824099328,266.14537916892124,-29.235144806774663,0.6383847693423785,17.031456,17.835896,16.145004
4057101600446850048,266.1454984689956,-29.246945731911843,0.6464154501118352,13.844649,14.32647,13.183434
4057108639894324352,266.145613607727,-29.0547930585426,0.6982231053343266,17.51059,18.417185,16.592909
4057103249714326144,266.1457068279529,-29.170210638624894,0.49967218470099406,13.783591,14.332036,13.060885
4057560440396507904,266.14574430676106,-28.49396817594236,0.9557213945173784,16.918152,17.843771,15.969085
4057560401736213504,266.14578300986415,-28.501178582224487,0.6530714853631759,17.74113,18.517584,16.825777
4057560406036768512,266.1458839964808,-28.49679126950114,0.49613413242378746,16.158388,16.965712,15.261675
4057107785199805824,266.1459132674633,-29.12790796534754,0.7446070395835893,17.360676,18.237484,16.418953
4057539201776058240,266.14600532638457,-28.742016699713066,2.0075899887771405,15.035015,15.67213,14.264697
4057108678553033216,266.14603883413685,-29.04734404965649,0.6433511229712047,17.383919,18.411325,16.383743
